time,Desa,Dusun,DiseasestoPlot,MOUYN,GIS_time,Desa_pop_2018,Disease_cat,NumDiagnoses,TotalYearlyPatients
Before,Batu Barat,Rembayan,Liver Disease,1,70.29468539,6060.124325,Other,1,16
Before,Batu Barat,Rembayan,Lower respiratory infections,1,70.29468539,6060.124325,Infectious,1,16
Before,Batu Barat,Rembayan,Malaria,1,70.29468539,6060.124325,Infectious,0,16
Before,Batu Barat,Rembayan,Malnutrition,1,70.29468539,6060.124325,Non-infectious,0,16
Before,Batu Barat,Rembayan,NTD,1,70.29468539,6060.124325,Infectious,0,144
Before,Batu Barat,Rembayan,Trauma,1,70.29468539,6060.124325,Other,0,16
Before,Batu Barat,Rembayan,Tuberculosis,1,70.29468539,6060.124325,Infectious,3,16
Before,Batu Barat,Rembayan,Untracked,1,70.29468539,6060.124325,Untracked,14,64
Before,Batu Barat,Rembayan,Upper respiratory infections,1,70.29468539,6060.124325,Infectious,0,16
Before,Batu Barat,Sepakat,Anemia,1,70.29468539,6060.124325,Other,0,11
Before,Batu Barat,Sepakat,Childhood-cluster diseases,1,70.29468539,6060.124325,Infectious,0,11
Before,Batu Barat,Sepakat,COPD,1,70.29468539,6060.124325,Non-infectious,3,11
Before,Batu Barat,Sepakat,Dental disease,1,70.29468539,6060.124325,Other,0,11
Before,Batu Barat,Sepakat,Diabetes,1,70.29468539,6060.124325,Non-infectious,0,11
Before,Batu Barat,Sepakat,Diarrheal disease,1,70.29468539,6060.124325,Infectious,0,11
Before,Batu Barat,Sepakat,Heart Disease,1,70.29468539,6060.124325,Non-infectious,0,11
Before,Batu Barat,Sepakat,Liver Disease,1,70.29468539,6060.124325,Other,0,11
Before,Batu Barat,Sepakat,Lower respiratory infections,1,70.29468539,6060.124325,Infectious,0,11
Before,Batu Barat,Sepakat,Malaria,1,70.29468539,6060.124325,Infectious,0,11
Before,Batu Barat,Sepakat,Malnutrition,1,70.29468539,6060.124325,Non-infectious,0,11
Before,Batu Barat,Sepakat,NTD,1,70.29468539,6060.124325,Infectious,0,99
Before,Batu Barat,Sepakat,Trauma,1,70.29468539,6060.124325,Other,1,11
Before,Batu Barat,Sepakat,Tuberculosis,1,70.29468539,6060.124325,Infectious,5,11
Before,Batu Barat,Sepakat,Untracked,1,70.29468539,6060.124325,Untracked,5,44
Before,Batu Barat,Sepakat,Upper respiratory infections,1,70.29468539,6060.124325,Infectious,0,11
Before,Batu Barat,Teluk Aur,Anemia,1,70.29468539,6060.124325,Other,0,23
Before,Batu Barat,Teluk Aur,Childhood-cluster diseases,1,70.29468539,6060.124325,Infectious,0,23
Before,Batu Barat,Teluk Aur,COPD,1,70.29468539,6060.124325,Non-infectious,0,23
Before,Batu Barat,Teluk Aur,Dental disease,1,70.29468539,6060.124325,Other,1,23
Before,Batu Barat,Teluk Aur,Diabetes,1,70.29468539,6060.124325,Non-infectious,0,23
Before,Batu Barat,Teluk Aur,Diarrheal disease,1,70.29468539,6060.124325,Infectious,1,23
Before,Batu Barat,Teluk Aur,Heart Disease,1,70.29468539,6060.124325,Non-infectious,1,23
Before,Batu Barat,Teluk Aur,Liver Disease,1,70.29468539,6060.124325,Other,2,23
Before,Batu Barat,Teluk Aur,Lower respiratory infections,1,70.29468539,6060.124325,Infectious,0,23
Before,Batu Barat,Teluk Aur,Malaria,1,70.29468539,6060.124325,Infectious,1,23
Before,Batu Barat,Teluk Aur,Malnutrition,1,70.29468539,6060.124325,Non-infectious,1,23
Before,Batu Barat,Teluk Aur,NTD,1,70.29468539,6060.124325,Infectious,0,207
Before,Batu Barat,Teluk Aur,Trauma,1,70.29468539,6060.124325,Other,0,23
Before,Batu Barat,Teluk Aur,Tuberculosis,1,70.29468539,6060.124325,Infectious,3,23
Before,Batu Barat,Teluk Aur,Untracked,1,70.29468539,6060.124325,Untracked,22,92
Before,Batu Barat,Teluk Aur,Upper respiratory infections,1,70.29468539,6060.124325,Infectious,0,23
Before,Benawai Agung,Munting,Anemia,1,17.06187228,1926.634229,Other,1,115
Before,Benawai Agung,Munting,Childhood-cluster diseases,1,17.06187228,1926.634229,Infectious,2,115
Before,Benawai Agung,Munting,COPD,1,17.06187228,1926.634229,Non-infectious,3,115
Before,Benawai Agung,Munting,Dental disease,1,17.06187228,1926.634229,Other,5,115
Before,Benawai Agung,Munting,Diabetes,1,17.06187228,1926.634229,Non-infectious,5,115
Before,Benawai Agung,Munting,Diarrheal disease,1,17.06187228,1926.634229,Infectious,6,115
Before,Benawai Agung,Munting,Heart Disease,1,17.06187228,1926.634229,Non-infectious,1,115
Before,Benawai Agung,Munting,Liver Disease,1,17.06187228,1926.634229,Other,0,115
Before,Benawai Agung,Munting,Lower respiratory infections,1,17.06187228,1926.634229,Infectious,5,115
Before,Benawai Agung,Munting,Malaria,1,17.06187228,1926.634229,Infectious,1,115
Before,Benawai Agung,Munting,Malnutrition,1,17.06187228,1926.634229,Non-infectious,0,115
Before,Benawai Agung,Munting,NTD,1,17.06187228,1926.634229,Infectious,2,1035
Before,Benawai Agung,Munting,Trauma,1,17.06187228,1926.634229,Other,3,115
Before,Benawai Agung,Munting,Tuberculosis,1,17.06187228,1926.634229,Infectious,9,115
Before,Benawai Agung,Munting,Untracked,1,17.06187228,1926.634229,Untracked,90,460
Before,Benawai Agung,Munting,Upper respiratory infections,1,17.06187228,1926.634229,Infectious,4,115
Before,Benawai Agung,Pelerang,Anemia,1,17.06187228,1926.634229,Other,0,75
Before,Benawai Agung,Pelerang,Childhood-cluster diseases,1,17.06187228,1926.634229,Infectious,0,75
Before,Benawai Agung,Pelerang,COPD,1,17.06187228,1926.634229,Non-infectious,3,75
Before,Benawai Agung,Pelerang,Dental disease,1,17.06187228,1926.634229,Other,2,75
Before,Benawai Agung,Pelerang,Diabetes,1,17.06187228,1926.634229,Non-infectious,4,75
Before,Benawai Agung,Pelerang,Diarrheal disease,1,17.06187228,1926.634229,Infectious,1,75
Before,Benawai Agung,Pelerang,Heart Disease,1,17.06187228,1926.634229,Non-infectious,1,75
Before,Benawai Agung,Pelerang,Liver Disease,1,17.06187228,1926.634229,Other,1,75
Before,Benawai Agung,Pelerang,Lower respiratory infections,1,17.06187228,1926.634229,Infectious,1,75
Before,Benawai Agung,Pelerang,Malaria,1,17.06187228,1926.634229,Infectious,1,75
Before,Benawai Agung,Pelerang,Malnutrition,1,17.06187228,1926.634229,Non-infectious,0,75
Before,Benawai Agung,Pelerang,NTD,1,17.06187228,1926.634229,Infectious,4,675
Before,Benawai Agung,Pelerang,Trauma,1,17.06187228,1926.634229,Other,0,75
Before,Benawai Agung,Pelerang,Tuberculosis,1,17.06187228,1926.634229,Infectious,4,75
Before,Benawai Agung,Pelerang,Untracked,1,17.06187228,1926.634229,Untracked,65,300
Before,Benawai Agung,Pelerang,Upper respiratory infections,1,17.06187228,1926.634229,Infectious,1,75
Before,Benawai Agung,Semanjak,Anemia,1,17.06187228,1926.634229,Other,0,17
Before,Benawai Agung,Semanjak,Childhood-cluster diseases,1,17.06187228,1926.634229,Infectious,0,17
Before,Benawai Agung,Semanjak,COPD,1,17.06187228,1926.634229,Non-infectious,0,17
Before,Benawai Agung,Semanjak,Dental disease,1,17.06187228,1926.634229,Other,0,17
Before,Benawai Agung,Semanjak,Diabetes,1,17.06187228,1926.634229,Non-infectious,1,17
Before,Benawai Agung,Semanjak,Diarrheal disease,1,17.06187228,1926.634229,Infectious,0,17
Before,Benawai Agung,Semanjak,Heart Disease,1,17.06187228,1926.634229,Non-infectious,1,17
Before,Benawai Agung,Semanjak,Liver Disease,1,17.06187228,1926.634229,Other,0,17
Before,Benawai Agung,Semanjak,Lower respiratory infections,1,17.06187228,1926.634229,Infectious,1,17
Before,Benawai Agung,Semanjak,Malaria,1,17.06187228,1926.634229,Infectious,0,17
Before,Benawai Agung,Semanjak,Malnutrition,1,17.06187228,1926.634229,Non-infectious,0,17
Before,Benawai Agung,Semanjak,NTD,1,17.06187228,1926.634229,Infectious,1,153
Before,Benawai Agung,Semanjak,Trauma,1,17.06187228,1926.634229,Other,0,17
Before,Benawai Agung,Semanjak,Tuberculosis,1,17.06187228,1926.634229,Infectious,1,17
Before,Benawai Agung,Semanjak,Untracked,1,17.06187228,1926.634229,Untracked,14,68
Before,Benawai Agung,Semanjak,Upper respiratory infections,1,17.06187228,1926.634229,Infectious,0,17
Before,Dusun Besar,Selja II,Anemia,0,92.71279477,2549.726264,Other,0,1
Before,Dusun Besar,Selja II,Childhood-cluster diseases,0,92.71279477,2549.726264,Infectious,0,1
Before,Dusun Besar,Selja II,COPD,0,92.71279477,2549.726264,Non-infectious,0,1
Before,Dusun Besar,Selja II,Dental disease,0,92.71279477,2549.726264,Other,0,1
Before,Dusun Besar,Selja II,Diabetes,0,92.71279477,2549.726264,Non-infectious,0,1
Before,Dusun Besar,Selja II,Diarrheal disease,0,92.71279477,2549.726264,Infectious,0,1
Before,Dusun Besar,Selja II,Heart Disease,0,92.71279477,2549.726264,Non-infectious,0,1
Before,Dusun Besar,Selja II,Liver Disease,0,92.71279477,2549.726264,Other,0,1
Before,Dusun Besar,Selja II,Lower respiratory infections,0,92.71279477,2549.726264,Infectious,0,1
Before,Dusun Besar,Selja II,Malaria,0,92.71279477,2549.726264,Infectious,0,1
Before,Dusun Besar,Selja II,Malnutrition,0,92.71279477,2549.726264,Non-infectious,0,1
Before,Dusun Besar,Selja II,NTD,0,92.71279477,2549.726264,Infectious,0,9
Before,Dusun Besar,Selja II,Trauma,0,92.71279477,2549.726264,Other,0,1
Before,Dusun Besar,Selja II,Tuberculosis,0,92.71279477,2549.726264,Infectious,0,1
Before,Dusun Besar,Selja II,Untracked,0,92.71279477,2549.726264,Untracked,1,4
Before,Dusun Besar,Selja II,Upper respiratory infections,0,92.71279477,2549.726264,Infectious,0,1
Before,Far,Far,Anemia,0,123.637541,318484.307,Other,14,2859
Before,Far,Far,Childhood-cluster diseases,0,123.637541,318484.307,Infectious,11,2859
Before,Far,Far,COPD,0,123.637541,318484.307,Non-infectious,104,2859
Before,Far,Far,Dental disease,0,123.637541,318484.307,Other,49,2859
Before,Far,Far,Diabetes,0,123.637541,318484.307,Non-infectious,207,2859
Before,Far,Far,Diarrheal disease,0,123.637541,318484.307,Infectious,44,2859
Before,Far,Far,Heart Disease,0,123.637541,318484.307,Non-infectious,80,2859
Before,Far,Far,Liver Disease,0,123.637541,318484.307,Other,8,2859
Before,Far,Far,Lower respiratory infections,0,123.637541,318484.307,Infectious,36,2859
Before,Far,Far,Malaria,0,123.637541,318484.307,Infectious,33,2859
Before,Far,Far,Malnutrition,0,123.637541,318484.307,Non-infectious,4,2859
Before,Far,Far,NTD,0,123.637541,318484.307,Infectious,115,25731
Before,Far,Far,Trauma,0,123.637541,318484.307,Other,18,2859
Before,Far,Far,Tuberculosis,0,123.637541,318484.307,Infectious,174,2859
Before,Far,Far,Untracked,0,123.637541,318484.307,Untracked,2466,11436
Before,Far,Far,Upper respiratory infections,0,123.637541,318484.307,Infectious,31,2859
Before,Gunung Sembilan,Nirmala,Anemia,1,13.15897732,1135.185395,Other,0,6
Before,Gunung Sembilan,Nirmala,Childhood-cluster diseases,1,13.15897732,1135.185395,Infectious,0,6
Before,Gunung Sembilan,Nirmala,COPD,1,13.15897732,1135.185395,Non-infectious,0,6
Before,Gunung Sembilan,Nirmala,Dental disease,1,13.15897732,1135.185395,Other,1,6
Before,Gunung Sembilan,Nirmala,Diabetes,1,13.15897732,1135.185395,Non-infectious,0,6
Before,Gunung Sembilan,Nirmala,Diarrheal disease,1,13.15897732,1135.185395,Infectious,0,6
Before,Gunung Sembilan,Nirmala,Heart Disease,1,13.15897732,1135.185395,Non-infectious,0,6
Before,Gunung Sembilan,Nirmala,Liver Disease,1,13.15897732,1135.185395,Other,0,6
Before,Gunung Sembilan,Nirmala,Lower respiratory infections,1,13.15897732,1135.185395,Infectious,0,6
Before,Gunung Sembilan,Nirmala,Malaria,1,13.15897732,1135.185395,Infectious,0,6
Before,Gunung Sembilan,Nirmala,Malnutrition,1,13.15897732,1135.185395,Non-infectious,0,6
Before,Gunung Sembilan,Nirmala,NTD,1,13.15897732,1135.185395,Infectious,0,54
Before,Gunung Sembilan,Nirmala,Trauma,1,13.15897732,1135.185395,Other,0,6
Before,Gunung Sembilan,Nirmala,Tuberculosis,1,13.15897732,1135.185395,Infectious,0,6
Before,Gunung Sembilan,Nirmala,Untracked,1,13.15897732,1135.185395,Untracked,5,24
Before,Gunung Sembilan,Nirmala,Upper respiratory infections,1,13.15897732,1135.185395,Infectious,0,6
Before,Gunung Sembilan,Sebadal,Anemia,1,13.15897732,1135.185395,Other,0,10
Before,Gunung Sembilan,Sebadal,Childhood-cluster diseases,1,13.15897732,1135.185395,Infectious,0,10
Before,Gunung Sembilan,Sebadal,COPD,1,13.15897732,1135.185395,Non-infectious,0,10
Before,Gunung Sembilan,Sebadal,Dental disease,1,13.15897732,1135.185395,Other,1,10
Before,Gunung Sembilan,Sebadal,Diabetes,1,13.15897732,1135.185395,Non-infectious,1,10
Before,Gunung Sembilan,Sebadal,Diarrheal disease,1,13.15897732,1135.185395,Infectious,0,10
Before,Gunung Sembilan,Sebadal,Heart Disease,1,13.15897732,1135.185395,Non-infectious,1,10
Before,Gunung Sembilan,Sebadal,Liver Disease,1,13.15897732,1135.185395,Other,0,10
Before,Gunung Sembilan,Sebadal,Lower respiratory infections,1,13.15897732,1135.185395,Infectious,1,10
Before,Gunung Sembilan,Sebadal,Malaria,1,13.15897732,1135.185395,Infectious,1,10
Before,Gunung Sembilan,Sebadal,Malnutrition,1,13.15897732,1135.185395,Non-infectious,0,10
Before,Gunung Sembilan,Sebadal,NTD,1,13.15897732,1135.185395,Infectious,1,90
Before,Gunung Sembilan,Sebadal,Trauma,1,13.15897732,1135.185395,Other,0,10
Before,Gunung Sembilan,Sebadal,Tuberculosis,1,13.15897732,1135.185395,Infectious,0,10
Before,Gunung Sembilan,Sebadal,Untracked,1,13.15897732,1135.185395,Untracked,7,40
Before,Gunung Sembilan,Sebadal,Upper respiratory infections,1,13.15897732,1135.185395,Infectious,1,10
Before,Gunung Sembilan,Tambak Rawang,Anemia,1,13.15897732,1135.185395,Other,0,69
Before,Gunung Sembilan,Tambak Rawang,Childhood-cluster diseases,1,13.15897732,1135.185395,Infectious,0,69
Before,Gunung Sembilan,Tambak Rawang,COPD,1,13.15897732,1135.185395,Non-infectious,2,69
Before,Gunung Sembilan,Tambak Rawang,Dental disease,1,13.15897732,1135.185395,Other,7,69
Before,Gunung Sembilan,Tambak Rawang,Diabetes,1,13.15897732,1135.185395,Non-infectious,2,69
Before,Gunung Sembilan,Tambak Rawang,Diarrheal disease,1,13.15897732,1135.185395,Infectious,3,69
Before,Gunung Sembilan,Tambak Rawang,Heart Disease,1,13.15897732,1135.185395,Non-infectious,1,69
Before,Gunung Sembilan,Tambak Rawang,Liver Disease,1,13.15897732,1135.185395,Other,0,69
Before,Gunung Sembilan,Tambak Rawang,Lower respiratory infections,1,13.15897732,1135.185395,Infectious,1,69
Before,Gunung Sembilan,Tambak Rawang,Malaria,1,13.15897732,1135.185395,Infectious,2,69
Before,Gunung Sembilan,Tambak Rawang,Malnutrition,1,13.15897732,1135.185395,Non-infectious,0,69
Before,Gunung Sembilan,Tambak Rawang,NTD,1,13.15897732,1135.185395,Infectious,3,621
Before,Gunung Sembilan,Tambak Rawang,Trauma,1,13.15897732,1135.185395,Other,1,69
Before,Gunung Sembilan,Tambak Rawang,Tuberculosis,1,13.15897732,1135.185395,Infectious,2,69
Before,Gunung Sembilan,Tambak Rawang,Untracked,1,13.15897732,1135.185395,Untracked,60,276
Before,Gunung Sembilan,Tambak Rawang,Upper respiratory infections,1,13.15897732,1135.185395,Infectious,2,69
Before,Harapan Mulia,Mentubang,Anemia,1,19.01608989,3191.567392,Other,0,64
Before,Harapan Mulia,Mentubang,Childhood-cluster diseases,1,19.01608989,3191.567392,Infectious,1,64
Before,Harapan Mulia,Mentubang,COPD,1,19.01608989,3191.567392,Non-infectious,4,64
Before,Harapan Mulia,Mentubang,Dental disease,1,19.01608989,3191.567392,Other,3,64
Before,Harapan Mulia,Mentubang,Diabetes,1,19.01608989,3191.567392,Non-infectious,2,64
Before,Harapan Mulia,Mentubang,Diarrheal disease,1,19.01608989,3191.567392,Infectious,5,64
Before,Harapan Mulia,Mentubang,Heart Disease,1,19.01608989,3191.567392,Non-infectious,3,64
Before,Harapan Mulia,Mentubang,Liver Disease,1,19.01608989,3191.567392,Other,0,64
Before,Harapan Mulia,Mentubang,Lower respiratory infections,1,19.01608989,3191.567392,Infectious,2,64
Before,Harapan Mulia,Mentubang,Malaria,1,19.01608989,3191.567392,Infectious,0,64
Before,Harapan Mulia,Mentubang,Malnutrition,1,19.01608989,3191.567392,Non-infectious,0,64
Before,Harapan Mulia,Mentubang,NTD,1,19.01608989,3191.567392,Infectious,3,576
Before,Harapan Mulia,Mentubang,Trauma,1,19.01608989,3191.567392,Other,1,64
Before,Harapan Mulia,Mentubang,Tuberculosis,1,19.01608989,3191.567392,Infectious,4,64
Before,Harapan Mulia,Mentubang,Untracked,1,19.01608989,3191.567392,Untracked,52,256
Before,Harapan Mulia,Mentubang,Upper respiratory infections,1,19.01608989,3191.567392,Infectious,0,64
Before,Harapan Mulia,Rantau Panjang,Anemia,1,19.01608989,3191.567392,Other,2,57
Before,Harapan Mulia,Rantau Panjang,Childhood-cluster diseases,1,19.01608989,3191.567392,Infectious,1,57
Before,Harapan Mulia,Rantau Panjang,COPD,1,19.01608989,3191.567392,Non-infectious,6,57
Before,Harapan Mulia,Rantau Panjang,Dental disease,1,19.01608989,3191.567392,Other,4,57
Before,Harapan Mulia,Rantau Panjang,Diabetes,1,19.01608989,3191.567392,Non-infectious,3,57
Before,Harapan Mulia,Rantau Panjang,Diarrheal disease,1,19.01608989,3191.567392,Infectious,1,57
Before,Harapan Mulia,Rantau Panjang,Heart Disease,1,19.01608989,3191.567392,Non-infectious,1,57
Before,Harapan Mulia,Rantau Panjang,Liver Disease,1,19.01608989,3191.567392,Other,0,57
Before,Harapan Mulia,Rantau Panjang,Lower respiratory infections,1,19.01608989,3191.567392,Infectious,0,57
Before,Harapan Mulia,Rantau Panjang,Malaria,1,19.01608989,3191.567392,Infectious,0,57
Before,Harapan Mulia,Rantau Panjang,Malnutrition,1,19.01608989,3191.567392,Non-infectious,0,57
Before,Harapan Mulia,Rantau Panjang,NTD,1,19.01608989,3191.567392,Infectious,2,513
Before,Harapan Mulia,Rantau Panjang,Trauma,1,19.01608989,3191.567392,Other,1,57
Before,Harapan Mulia,Rantau Panjang,Tuberculosis,1,19.01608989,3191.567392,Infectious,4,57
Before,Harapan Mulia,Rantau Panjang,Untracked,1,19.01608989,3191.567392,Untracked,44,228
Before,Harapan Mulia,Rantau Panjang,Upper respiratory infections,1,19.01608989,3191.567392,Infectious,1,57
Before,Harapan Mulia,Senebing,Anemia,1,19.01608989,3191.567392,Other,1,56
Before,Harapan Mulia,Senebing,Childhood-cluster diseases,1,19.01608989,3191.567392,Infectious,0,56
Before,Harapan Mulia,Senebing,COPD,1,19.01608989,3191.567392,Non-infectious,1,56
Before,Harapan Mulia,Senebing,Dental disease,1,19.01608989,3191.567392,Other,11,56
Before,Harapan Mulia,Senebing,Diabetes,1,19.01608989,3191.567392,Non-infectious,5,56
Before,Harapan Mulia,Senebing,Diarrheal disease,1,19.01608989,3191.567392,Infectious,1,56
Before,Harapan Mulia,Senebing,Heart Disease,1,19.01608989,3191.567392,Non-infectious,2,56
Before,Harapan Mulia,Senebing,Liver Disease,1,19.01608989,3191.567392,Other,0,56
Before,Harapan Mulia,Senebing,Lower respiratory infections,1,19.01608989,3191.567392,Infectious,0,56
Before,Harapan Mulia,Senebing,Malaria,1,19.01608989,3191.567392,Infectious,2,56
Before,Harapan Mulia,Senebing,Malnutrition,1,19.01608989,3191.567392,Non-infectious,0,56
Before,Harapan Mulia,Senebing,NTD,1,19.01608989,3191.567392,Infectious,3,504
Before,Harapan Mulia,Senebing,Trauma,1,19.01608989,3191.567392,Other,1,56
Before,Harapan Mulia,Senebing,Tuberculosis,1,19.01608989,3191.567392,Infectious,0,56
Before,Harapan Mulia,Senebing,Untracked,1,19.01608989,3191.567392,Untracked,42,224
Before,Harapan Mulia,Senebing,Upper respiratory infections,1,19.01608989,3191.567392,Infectious,1,56
Before,Laman Satong,Kepayang,Anemia,1,82.1973091,8179.765766,Other,0,18
Before,Laman Satong,Kepayang,Childhood-cluster diseases,1,82.1973091,8179.765766,Infectious,2,18
Before,Laman Satong,Kepayang,COPD,1,82.1973091,8179.765766,Non-infectious,0,18
Before,Laman Satong,Kepayang,Dental disease,1,82.1973091,8179.765766,Other,0,18
Before,Laman Satong,Kepayang,Diabetes,1,82.1973091,8179.765766,Non-infectious,0,18
Before,Laman Satong,Kepayang,Diarrheal disease,1,82.1973091,8179.765766,Infectious,0,18
Before,Laman Satong,Kepayang,Heart Disease,1,82.1973091,8179.765766,Non-infectious,0,18
Before,Laman Satong,Kepayang,Liver Disease,1,82.1973091,8179.765766,Other,0,18
Before,Laman Satong,Kepayang,Lower respiratory infections,1,82.1973091,8179.765766,Infectious,2,18
Before,Laman Satong,Kepayang,Malaria,1,82.1973091,8179.765766,Infectious,1,18
Before,Laman Satong,Kepayang,Malnutrition,1,82.1973091,8179.765766,Non-infectious,0,18
Before,Laman Satong,Kepayang,NTD,1,82.1973091,8179.765766,Infectious,0,162
Before,Laman Satong,Kepayang,Trauma,1,82.1973091,8179.765766,Other,0,18
Before,Laman Satong,Kepayang,Tuberculosis,1,82.1973091,8179.765766,Infectious,2,18
Before,Laman Satong,Kepayang,Untracked,1,82.1973091,8179.765766,Untracked,17,72
Before,Laman Satong,Kepayang,Upper respiratory infections,1,82.1973091,8179.765766,Infectious,0,18
Before,Laman Satong,Manjau,Anemia,1,82.1973091,8179.765766,Other,0,37
Before,Laman Satong,Manjau,Childhood-cluster diseases,1,82.1973091,8179.765766,Infectious,0,37
Before,Laman Satong,Manjau,COPD,1,82.1973091,8179.765766,Non-infectious,4,37
Before,Laman Satong,Manjau,Dental disease,1,82.1973091,8179.765766,Other,1,37
Before,Laman Satong,Manjau,Diabetes,1,82.1973091,8179.765766,Non-infectious,0,37
Before,Laman Satong,Manjau,Diarrheal disease,1,82.1973091,8179.765766,Infectious,1,37
Before,Laman Satong,Manjau,Heart Disease,1,82.1973091,8179.765766,Non-infectious,1,37
Before,Laman Satong,Manjau,Liver Disease,1,82.1973091,8179.765766,Other,0,37
Before,Laman Satong,Manjau,Lower respiratory infections,1,82.1973091,8179.765766,Infectious,2,37
Before,Laman Satong,Manjau,Malaria,1,82.1973091,8179.765766,Infectious,0,37
Before,Laman Satong,Manjau,Malnutrition,1,82.1973091,8179.765766,Non-infectious,0,37
Before,Laman Satong,Manjau,NTD,1,82.1973091,8179.765766,Infectious,0,333
Before,Laman Satong,Manjau,Trauma,1,82.1973091,8179.765766,Other,0,37
Before,Laman Satong,Manjau,Tuberculosis,1,82.1973091,8179.765766,Infectious,7,37
Before,Laman Satong,Manjau,Untracked,1,82.1973091,8179.765766,Untracked,30,148
Before,Laman Satong,Manjau,Upper respiratory infections,1,82.1973091,8179.765766,Infectious,0,37
Before,Laman Satong,Nek Doyan,Anemia,1,82.1973091,8179.765766,Other,0,19
Before,Laman Satong,Nek Doyan,Childhood-cluster diseases,1,82.1973091,8179.765766,Infectious,0,19
Before,Laman Satong,Nek Doyan,COPD,1,82.1973091,8179.765766,Non-infectious,0,19
Before,Laman Satong,Nek Doyan,Dental disease,1,82.1973091,8179.765766,Other,0,19
Before,Laman Satong,Nek Doyan,Diabetes,1,82.1973091,8179.765766,Non-infectious,0,19
Before,Laman Satong,Nek Doyan,Diarrheal disease,1,82.1973091,8179.765766,Infectious,1,19
Before,Laman Satong,Nek Doyan,Heart Disease,1,82.1973091,8179.765766,Non-infectious,0,19
Before,Laman Satong,Nek Doyan,Liver Disease,1,82.1973091,8179.765766,Other,0,19
Before,Laman Satong,Nek Doyan,Lower respiratory infections,1,82.1973091,8179.765766,Infectious,1,19
Before,Laman Satong,Nek Doyan,Malaria,1,82.1973091,8179.765766,Infectious,2,19
Before,Laman Satong,Nek Doyan,Malnutrition,1,82.1973091,8179.765766,Non-infectious,0,19
Before,Laman Satong,Nek Doyan,NTD,1,82.1973091,8179.765766,Infectious,1,171
Before,Laman Satong,Nek Doyan,Trauma,1,82.1973091,8179.765766,Other,0,19
Before,Laman Satong,Nek Doyan,Tuberculosis,1,82.1973091,8179.765766,Infectious,1,19
Before,Laman Satong,Nek Doyan,Untracked,1,82.1973091,8179.765766,Untracked,15,76
Before,Laman Satong,Nek Doyan,Upper respiratory infections,1,82.1973091,8179.765766,Infectious,1,19
Before,Mata-Mata,Harapan Maju,Anemia,1,65.49705557,3796.506608,Other,0,41
Before,Mata-Mata,Harapan Maju,Childhood-cluster diseases,1,65.49705557,3796.506608,Infectious,0,41
Before,Mata-Mata,Harapan Maju,COPD,1,65.49705557,3796.506608,Non-infectious,1,41
Before,Mata-Mata,Harapan Maju,Dental disease,1,65.49705557,3796.506608,Other,0,41
Before,Mata-Mata,Harapan Maju,Diabetes,1,65.49705557,3796.506608,Non-infectious,2,41
Before,Mata-Mata,Harapan Maju,Diarrheal disease,1,65.49705557,3796.506608,Infectious,0,41
Before,Mata-Mata,Harapan Maju,Heart Disease,1,65.49705557,3796.506608,Non-infectious,1,41
